iter	MultiClass
0	1.910646924
1	1.80897136
2	1.753645038
3	1.722004606
4	1.687049192
5	1.629599458
6	1.577251884
7	1.527756841
8	1.458730931
9	1.397577121
10	1.3328358
11	1.29683979
12	1.253351642
13	1.216776048
14	1.188186344
15	1.147810674
16	1.118501935
17	1.100702008
18	1.070543009
19	1.042734032
20	0.9976308941
21	0.968723272
22	0.93837462
23	0.9097306585
24	0.89168582
25	0.869863765
26	0.8325566597
27	0.8089546349
28	0.7875315001
29	0.7586024073
30	0.737117385
31	0.7221286374
32	0.6889910263
33	0.6779071137
34	0.6643217312
35	0.650902877
36	0.6455125334
37	0.6216050443
38	0.6057207067
39	0.581835292
40	0.5733198558
41	0.5583444375
42	0.5421425867
43	0.5303056769
44	0.5184694178
45	0.5083626679
46	0.4959769004
47	0.4857786152
48	0.476698874
49	0.468143249
50	0.460388704
51	0.4494508108
52	0.4380937461
53	0.4258988983
54	0.4204155453
55	0.4105429016
56	0.4031818269
57	0.3931452522
58	0.3842499494
59	0.3745249527
60	0.3663705229
61	0.3609426105
62	0.3540793593
63	0.3466719878
64	0.3413499861
65	0.3339308362
66	0.3271493976
67	0.318854394
68	0.3111950476
69	0.3050085012
70	0.2975504232
71	0.289303901
72	0.2828673861
73	0.277211922
74	0.2736261009
75	0.2690719421
76	0.263332147
77	0.2595868333
78	0.2520727055
79	0.2446630486
80	0.2383634619
81	0.2319513616
82	0.2256830859
83	0.2196994106
84	0.2139733282
85	0.2084155989
86	0.2047803978
87	0.1998597139
88	0.1946230345
89	0.1899884981
90	0.1874044245
91	0.1844652486
92	0.1804083644
93	0.1774708773
94	0.1741466571
95	0.1714129677
96	0.1671448757
97	0.1637122572
98	0.1610046321
99	0.157788131
100	0.1551196929
101	0.151752928
102	0.1486092403
103	0.1453116811
104	0.1428061303
105	0.1399071843
106	0.1371501296
107	0.1344004173
108	0.131456688
109	0.1296117666
110	0.1273977417
111	0.1258647884
112	0.1233846568
113	0.1209714962
114	0.1185746447
115	0.11636403
116	0.1149959585
117	0.1136950457
118	0.112243518
119	0.1102285375
120	0.1084752602
121	0.1064704303
122	0.1046711764
123	0.1032914522
124	0.1020926609
125	0.1007345728
126	0.09955673622
127	0.0979110772
128	0.09681852066
129	0.09545342072
130	0.09402473454
131	0.09251653519
132	0.09109870151
133	0.0903138233
134	0.08925046806
135	0.08829583816
136	0.08690563926
137	0.08574152858
138	0.08446698842
139	0.08359697629
140	0.08277934721
141	0.08158471094
142	0.08075603953
143	0.07999741125
144	0.07913883281
145	0.07838920809
146	0.07758888923
147	0.0764561369
148	0.07593092889
149	0.07489148903
150	0.07413423073
151	0.07314689581
152	0.07244840364
153	0.07164630793
154	0.07069454525
155	0.06995936788
156	0.06956299929
157	0.0689045424
158	0.06830954834
159	0.06775586595
160	0.06732675918
161	0.06676236749
162	0.066012718
163	0.06532221119
164	0.06454186562
165	0.06369539538
166	0.06293930232
167	0.06244208131
168	0.06172705618
169	0.06096751592
170	0.06028011889
171	0.05958152658
172	0.05926037988
173	0.05860354454
174	0.05795386407
175	0.05753014574
176	0.05689002313
